batch ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index ID
1012985	1012985_23153_0_0.cram	1012985_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyPz0J3G2PzFk0PvKKKPZ3	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyPz0J3G236fz03jJVfKvZ
1013018	1013018_23153_0_0.cram	1013018_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvgP0Jxjvpzx9v3k28Kq07	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvgP0JxjvYfQVX3jFk01Z3
1013051	1013051_23153_0_0.cram	1013051_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyfkQJ01F83pf33jvJvKYF	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyfg8J01FFJqj13pX3qQbX
1013084	1013084_23153_0_0.cram	1013084_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx8P0Jb5xB2P0F3P9JVYJp	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx8K8Jb5x1Jx4y3kq3xk76
1013092	1013092_23153_0_0.cram	1013092_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyVQjJ5jgp2P0F3P9JVqbQ	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyV88J5jgj8X51FVq6Qf1f
1013128	1013128_23153_0_0.cram	1013128_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvXGjJxjvkPxkG3k8v5zpf	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvXGQJxjvp2P0F3P9JVQ7b
1013135	1013135_23153_0_0.cram	1013135_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4fX0J9V0gJ5pq6gy78V7K	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4fVjJ9V0vXqY33k9G4Pqj
1013144	1013144_23153_0_0.cram	1013144_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby6G8JxqgbxXGv3jPxx5XJ	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby6G8JxqgfX5613kgxGG9Z
1013183	1013183_23153_0_0.cram	1013183_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyG7QJ8qGVv92p3jFzgQYJ	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyG7QJ8qGY6fz03jJVfK3g
1013212	1013212_23153_0_0.cram	1013212_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4jBjJFx0pXXQZ3kp08GJ5	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4jBjJFx0fQX8B3kyz1pPF
