batch ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index ID
1107213	1107213_23153_0_0.cram	1107213_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf3q5jJ9Pff4Zg33jJkgfYB	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf3q5QJ9PfpyB9v3jV3973Q
1107248	1107248_23153_0_0.cram	1107248_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybvpp8JZYj3y25J9XJb56YX	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvpkQJZYjGXqY33k9G3F4K
1107521	1107521_23153_0_0.cram	1107521_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybxq6QJ7gPz6V3k3kzV0p49	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybxq68J7gPQzQ6f737bXPj1
1107609	1107609_23153_0_0.cram	1107609_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybvk9QJP5v965763jfjyZv8	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybvk90JP5v64Zg33jJkff9P
1107803	1107803_23153_0_0.cram	1107803_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvVpQJ18XQ5xP83jXBJJjV	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvVkjJ18Xv4jfV3jbZYz2f
1107902	1107902_23153_0_0.cram	1107902_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxxB8JXP9x1vFb3k48gP4P	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxxYQJXP9x9g6y3jJvfG0f
1109541	1109541_23153_0_0.cram	1109541_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf1508J9fxFJqj13pX3qkG6	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf1508J9fxFX08fG45vKgxf
1109738	1109738_23153_0_0.cram	1109738_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz4vQJjBGkb4843jZpXGjz	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz4vQJjBGxJ1YV3jzqZFVX
1109979	1109979_23153_0_0.cram	1109979_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby5Q0JxV6f4Zg33jJkfyFQ	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby5Q0JxV6Yy25J9XJb5KGG
1109984	1109984_23153_0_0.cram	1109984_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxYJjJ7qGk3V1V3jZGBz71	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxYJ0J7qGYy9vZ3kP6jgX5
1112233	1112233_23153_0_0.cram	1112233_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx8FQJfJBQZfJQ3kvV7VFV	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx8BjJfJBzzFk0PvKKK73x
1114983	1114983_23153_0_0.cram	1114983_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4JfQJz9xxJ1YV3jzqZzBZ	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4JbjJz9xx1vFb3k48j91P
1115002	1115002_23153_0_0.cram	1115002_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf436QJbB23fQVX3jFk10vY	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf435QJbB26bJq23kb90zQ7
1116843	1116843_23153_0_0.cram	1116843_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyZFQJkB6Kxx324vBY1052	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyZ8QJkB69g7P43kGQXVk7
1117515	1117515_23153_0_0.cram	1117515_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4Bx8JQj8BZkpz3kYVP68X	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4BvjJQj83y25J9XJb6B6J
1117693	1117693_23153_0_0.cram	1117693_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyfxjJxV6z6V3k3kzV0zzG	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyfx0JxV6z6V3k3kzV0zz6
1117854	1117854_23153_0_0.cram	1117854_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf127QJKz9gqjfP3kgKQ1gx	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf126jJKz9yYGJZ3jyQBJ3y
1118784	1118784_23153_0_0.cram	1118784_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf41V8JjV8zgyZ03jF7B3Vp	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf41V8JjV8b9V544519jJ90
1118816	1118816_23153_0_0.cram	1118816_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxYZjJP5vJJ1YV3jzqYv4z	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxYYQJP5v83pf33jvJv75Z
1118865	1118865_23153_0_0.cram	1118865_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyYYjJgXZv4jfV3jbZZF9b	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyYYQJgXZvXqY33k9G3bz9
1119141	1119141_23153_0_0.cram	1119141_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxFbQJ8qGj8X51FVq6QK36	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxFPjJ8qGzzFk0PvKKK7XV
1120517	1120517_23153_0_0.cram	1120517_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz4K8J6B5QjKFZ3jf5Qkz6	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz480J6B5ygz4q3jyq4fbf
1121620	1121620_23153_0_0.cram	1121620_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyFXQJq9XB2P0F3P9JVpK1	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyFX8Jq9XBZkpz3kYVK4Jj
1122537	1122537_23153_0_0.cram	1122537_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby6g0J4zgpzx9v3k28P48F	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby75QJ4zgp2P0F3P9JVkbX
1122883	1122883_23153_0_0.cram	1122883_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx2G0Jp3fJ9g6y3jJvf6gV	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx2G0Jp3f93V1V3jZGBvJg
1122962	1122962_23153_0_0.cram	1122962_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4kyjJKBb9b4843jZpY50p	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4kyjJKBbKYGJZ3jyQF5p5
1123239	1123239_23153_0_0.cram	1123239_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz1GjJGkxbj06Y3jy23k0Q	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz1BQJGkxyYGJZ3jyQB7QV
1123328	1123328_23153_0_0.cram	1123328_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4448J9Pfj3pf33jvJx1J1	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf443jJ9Pfygz4q3jyq5BjF
1123361	1123361_23153_0_0.cram	1123361_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyp5QJxF3fQX8B3kyz104x	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyp3QJxF3fbJq23kb9012Y
1124001	1124001_23153_0_0.cram	1124001_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf49f0JjvYX86YP7ZVP5pXf	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf49f0JjvYvXqY33k9G4GZY
1124026	1124026_23153_0_0.cram	1124026_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyZv8JVj9jzFQF3jG6zYKk	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyZb0JVj9gqjfP3kgKPgV1
1124093	1124093_23153_0_0.cram	1124093_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyZVjJx4493V1V3jZGF67F	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyZPQJx443y9vZ3kP6jyGX
1124977	1124977_23153_0_0.cram	1124977_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx5F8JQ4b3fQVX3jFk03pp	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx5bQJQ4bP6V3k3kzV0f2y
1125120	1125120_23153_0_0.cram	1125120_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxZp0JvJPp2P0F3P9JVbb0	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxZj0JvJPQ5xP83jXBJY2f
1125385	1125385_23153_0_0.cram	1125385_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvkP0JP5v2Kg6V3jYvq9k1	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvkJ8JP5vJ9g6y3jJvf59Z
1125508	1125508_23153_0_0.cram	1125508_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby33jJVj9kg7P43kGQXKF4	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby30jJVj9YfQVX3jFk0B46
1127493	1127493_23153_0_0.cram	1127493_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby3vQJ01FFX08fG45vK8fX	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby3VQJ01FB2P0F3P9JVjz5
