batch ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index ID
1950040	1950040_23153_0_0.cram	1950040_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxfQQJ6kZygz4q3jyq4Gvg	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxfP8J6kZpzx9v3k28P0J3
1950071	1950071_23153_0_0.cram	1950071_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxYP8Jvjpk3V1V3jZGBz7q	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxYKQJvjpy7Jp68g0XVxk3
1950095	1950095_23153_0_0.cram	1950095_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybxg7jJk49qJqj13pX3q9py	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybxg7jJk49bj06Y3jy23Q4z
1950191	1950191_23153_0_0.cram	1950191_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybvbj0JzBxvXqY33k9G3BBf	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvbfjJzBxy7Jp68g0XVZBv
1950215	1950215_23153_0_0.cram	1950215_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybvx38JxqgQ5xP83jXBJP45	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybvx1jJxqgjzFQF3jG6z8BG
1950223	1950223_23153_0_0.cram	1950223_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4Y10JFx0yYGJZ3jyQF3y1	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4Y0jJFx0b7v96P5VP898y
1950230	1950230_23153_0_0.cram	1950230_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxPfQJkFF93V1V3jZGBy9x	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxPf8JkFFG9ky93jF7Y5fV
1950241	1950241_23153_0_0.cram	1950241_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4xp0J0Z993V1V3jZGG84Y	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4xkQJ0Z9GXqY33k9G4VbG
1950264	1950264_23153_0_0.cram	1950264_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf476jJYyZzgyZ03jF7B4kx	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf475jJYyZpzx9v3k28PqbZ
1950277	1950277_23153_0_0.cram	1950277_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxbZQJ3ZpyYGJZ3jyQ9xG4	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxbVQJ3Zpbj06Y3jy23Pk8
