batch ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index ID
TCGA-E9-A1RB-10A-01D-A159-09_gdc_realn	TCGA-E9-A1RB-10A-01D-A159-09_gdc_realn.bam	TCGA-E9-A1RB-10A-01D-A159-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8B8jKQJqvqjZ3BJ3kV6kjKV	project-G428g40Jf312vx5727kY9KXZ:file-G8B8jgQJqvqVj07k3kGZVXqB
TCGA-E2-A1IN-10A-01D-A188-09_gdc_realn	TCGA-E2-A1IN-10A-01D-A188-09_gdc_realn.bam	TCGA-E2-A1IN-10A-01D-A188-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8B9978JkzZjB2pq3zX06582	project-G428g40Jf312vx5727kY9KXZ:file-G8B99qQJkzZxg9BkFjjkzx6G
TCGA-E2-A1IK-10A-01D-A142-09_gdc_realn	TCGA-E2-A1IK-10A-01D-A142-09_gdc_realn.bam	TCGA-E2-A1IK-10A-01D-A142-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8B8KF0J34V5GQZj4kfZX7gB	project-G428g40Jf312vx5727kY9KXZ:file-G8B8Kb8J34V6FGKF2VfpB9ZG
TCGA-E2-A1IG-10A-01D-A142-09_gdc_realn	TCGA-E2-A1IG-10A-01D-A142-09_gdc_realn.bam	TCGA-E2-A1IG-10A-01D-A142-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8B9Zq0JF77g60032Y43GyBP	project-G428g40Jf312vx5727kY9KXZ:file-G8B9b5jJF77yk8zV4p5P49x6
TCGA-E2-A14R-10A-01D-A110-09_gdc_realn	TCGA-E2-A14R-10A-01D-A110-09_gdc_realn.bam	TCGA-E2-A14R-10A-01D-A110-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8B8X18Jkbf4jFjj2Y6Z7V9x	project-G428g40Jf312vx5727kY9KXZ:file-G8B8XG8Jkbf7J3GyPzj6Jxvf
TCGA-DX-AB2X-10A-01D-A38A-09_gdc_realn	TCGA-DX-AB2X-10A-01D-A38A-09_gdc_realn.bam	TCGA-DX-AB2X-10A-01D-A38A-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BZ4q0JXpf3Ky3F8XzbX6P9	project-G428g40Jf312vx5727kY9KXZ:file-G8BZ528JXpf67yJP8XQ2VQy8
TCGA-DX-AB2W-10A-01D-A38Z-09_gdc_realn	TCGA-DX-AB2W-10A-01D-A38Z-09_gdc_realn.bam	TCGA-DX-AB2W-10A-01D-A38Z-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BZ4X0JGXxBV8FxGZGb3q5p	project-G428g40Jf312vx5727kY9KXZ:file-G8BZ4k0JGXx9K77JG2jfg76g
TCGA-DX-AB2Q-10A-01D-A38Z-09_gdc_realn	TCGA-DX-AB2Q-10A-01D-A38Z-09_gdc_realn.bam	TCGA-DX-AB2Q-10A-01D-A38Z-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BZFQ8JvjjV3fpJG2vvF9pZ	project-G428g40Jf312vx5727kY9KXZ:file-G8BZFkQJvjjX82vv8VFxBfBy
TCGA-DX-AB2F-10A-01D-A38A-09_gdc_realn	TCGA-DX-AB2F-10A-01D-A38A-09_gdc_realn.bam	TCGA-DX-AB2F-10A-01D-A38A-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8B89x0J5kYxQ6274p9PyP4g	project-G428g40Jf312vx5727kY9KXZ:file-G8B8B2QJ5kYpK6FzFgzqZqZ2
TCGA-DX-AB2E-10A-01D-A38Z-09_gdc_realn	TCGA-DX-AB2E-10A-01D-A38Z-09_gdc_realn.bam	TCGA-DX-AB2E-10A-01D-A38Z-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8B8bQ8J99yxQ6274p9PyVx7	project-G428g40Jf312vx5727kY9KXZ:file-G8B8bjQJ99yvPjb33zPBQKxq
