batch ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index ID
TCGA-56-7582-10A-01D-2042-08_gdc_realn	TCGA-56-7582-10A-01D-2042-08_gdc_realn.bam	TCGA-56-7582-10A-01D-2042-08_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8B5qfQJ3JkKG5xV8gF9Kqb4	project-G428g40Jf312vx5727kY9KXZ:file-G8B5qqQJ3Jk78p163zZjBxb4
TCGA-43-5670-10A-01D-2122-08_gdc_realn	TCGA-43-5670-10A-01D-2122-08_gdc_realn.bam	TCGA-43-5670-10A-01D-2122-08_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8B64kQJ9X2BJg8zBv29Vf7p	project-G428g40Jf312vx5727kY9KXZ:file-G8B6500J9X2FbgF9FkJYB1pq
TCGA-A6-5659-10A-01D-1650-10_hg19_Illumina_gdc_realn	TCGA-A6-5659-10A-01D-1650-10_hg19_Illumina_gdc_realn.bam	TCGA-A6-5659-10A-01D-1650-10_hg19_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8Bb4x0JK36z06KPFk32zfZ7	project-G428g40Jf312vx5727kY9KXZ:file-G8Bb5Y8JK36gYqKQ04qJqgP7
TCGA-OR-A5JA-10A-01D-A29L-10_Illumina_gdc_realn	TCGA-OR-A5JA-10A-01D-A29L-10_Illumina_gdc_realn.bam	TCGA-OR-A5JA-10A-01D-A29L-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BZ7xQJxKpxg9BkFjjp3Gp1	project-G428g40Jf312vx5727kY9KXZ:file-G8BZ858JxKpxQ6274p902jkk
TCGA-OR-A5JM-10B-01D-A29L-10_Illumina_gdc_realn	TCGA-OR-A5JM-10B-01D-A29L-10_Illumina_gdc_realn.bam	TCGA-OR-A5JM-10B-01D-A29L-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BYPxQJb2F598qvG1pVyQGb	project-G428g40Jf312vx5727kY9KXZ:file-G8BYQ4jJb2F3qBVQ8VJZf853
TCGA-OR-A5JE-10A-01D-A29L-10_Illumina_gdc_realn	TCGA-OR-A5JE-10A-01D-A29L-10_Illumina_gdc_realn.bam	TCGA-OR-A5JE-10A-01D-A29L-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BYJV8JBQbKG5xV8gF9bgK1	project-G428g40Jf312vx5727kY9KXZ:file-G8BYJjQJBQb760032Y43QvX5
TCGA-UB-A7MA-10A-01D-A33Q-10_Illumina_gdc_realn	TCGA-UB-A7MA-10A-01D-A33Q-10_Illumina_gdc_realn.bam	TCGA-UB-A7MA-10A-01D-A33Q-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BYJP0JfyJvB68j3qYy5G2F	project-G428g40Jf312vx5727kY9KXZ:file-G8BYJbjJfyJxyqFGBv88G2z6
TCGA-SO-A8JP-10A-01D-A438-10_Illumina_gdc_realn	TCGA-SO-A8JP-10A-01D-A438-10_Illumina_gdc_realn.bam	TCGA-SO-A8JP-10A-01D-A438-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BYF2jJG4y504qj3kqq2VxK	project-G428g40Jf312vx5727kY9KXZ:file-G8BYFJ8JG4y5y8Qk3zgqf96P
TCGA-TS-A7P8-10A-01D-A34C-32_gdc_realn	TCGA-TS-A7P8-10A-01D-A34C-32_gdc_realn.bam	TCGA-TS-A7P8-10A-01D-A34C-32_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BYBKjJ6Yz83qQX04y4vZ3b	project-G428g40Jf312vx5727kY9KXZ:file-G8BYBgjJ6YzJyqFGBv88G2b5
TCGA-UT-A97Y-10A-01D-A39U-32_gdc_realn	TCGA-UT-A97Y-10A-01D-A39U-32_gdc_realn.bam	TCGA-UT-A97Y-10A-01D-A39U-32_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BY3bjJ5Xbb04qj3kqq2Q1V	project-G428g40Jf312vx5727kY9KXZ:file-G8BY400J5XbX73YkFkBfzJ39
TCGA-OR-A5K3-10A-01D-A29L-10_Illumina_gdc_realn	TCGA-OR-A5K3-10A-01D-A29L-10_Illumina_gdc_realn.bam	TCGA-OR-A5K3-10A-01D-A29L-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BXzfQJF9yg60032Y43QppK	project-G428g40Jf312vx5727kY9KXZ:file-G8BXzxQJF9ygqGVy8Vb0Pbbb
