batch ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index ID
TCGA-A6-3809-10A-01D-1459-10_Illumina_gdc_realn	TCGA-A6-3809-10A-01D-1459-10_Illumina_gdc_realn.bam	TCGA-A6-3809-10A-01D-1459-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BXjFQJyXZ8qq5J8jzJG26Y	project-G428g40Jf312vx5727kY9KXZ:file-G8BXjf0JyXZKG5xV8gF9bZ3Z
TCGA-AG-3587-10A-01D-1989-10_gapfillers_Illumina_gdc_realn	TCGA-AG-3587-10A-01D-1989-10_gapfillers_Illumina_gdc_realn.bam	TCGA-AG-3587-10A-01D-1989-10_gapfillers_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BXZqjJGgpPvxPx3p3j9z21	project-G428g40Jf312vx5727kY9KXZ:file-G8BXZyjJGgp67yJP8XQ2Q1q2
TCGA-AG-3582-10A-01D-1989-10_gapfillers_Illumina_gdc_realn	TCGA-AG-3582-10A-01D-1989-10_gapfillers_Illumina_gdc_realn.bam	TCGA-AG-3582-10A-01D-1989-10_gapfillers_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BXZpjJBYVK70Px8QxZzpV1	project-G428g40Jf312vx5727kY9KXZ:file-G8BXZxjJBYVPvxPx3p3j9z2B
TCGA-AA-3562-10A-01D-1953-10_gapfillers_Illumina_gdc_realn	TCGA-AA-3562-10A-01D-1953-10_gapfillers_Illumina_gdc_realn.bam	TCGA-AA-3562-10A-01D-1953-10_gapfillers_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BXZ6QJPbKf7yJP8XQ2Q1kQ	project-G428g40Jf312vx5727kY9KXZ:file-G8BXZ98JPbKj3qQX04y4vVgQ
TCGA-YU-A94D-10A-01D-A438-10_Illumina_gdc_realn	TCGA-YU-A94D-10A-01D-A438-10_Illumina_gdc_realn.bam	TCGA-YU-A94D-10A-01D-A438-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJB28J5qF10pqQ4v2ZFVGx	project-G428g40Jf312vx5727kY9KXZ:file-G8BJBQ8J5qF5y8Qk3zgqZKB9
TCGA-ZN-A9VU-10A-01D-A39U-32_gdc_realn	TCGA-ZN-A9VU-10A-01D-A39U-32_gdc_realn.bam	TCGA-ZN-A9VU-10A-01D-A39U-32_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ9vjJ45GB7G1yBqJJKZFK	project-G428g40Jf312vx5727kY9KXZ:file-G8BJBK8J45G78p163zZjJGPb
TCGA-ZS-A9CG-10A-01D-A370-10_Illumina_gdc_realn	TCGA-ZS-A9CG-10A-01D-A370-10_Illumina_gdc_realn.bam	TCGA-ZS-A9CG-10A-01D-A370-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ998Jj8pX73YkFkBfyp8q	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ9ZjJj8pVj07k3kGZbbz8
TCGA-ZN-A9VS-10A-01D-A39U-32_gdc_realn	TCGA-ZN-A9VS-10A-01D-A39U-32_gdc_realn.bam	TCGA-ZN-A9VS-10A-01D-A39U-32_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ958JJ48Pg1GQ8X47b489	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ9XQJJ4808kbJ2X5G5qk0
TCGA-ZP-A9D2-10B-01D-A385-10_Illumina_gdc_realn	TCGA-ZP-A9D2-10B-01D-A385-10_Illumina_gdc_realn.bam	TCGA-ZP-A9D2-10B-01D-A385-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ928JQP4jqq5J8jzJFQXb	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ9G8JQP4k9x9jFggq1BQj
